Település;Lakosság
Budapest;1675370
Aszód;6193
Bag;3954
Domony;2268
Galgahévíz;2638
Galgamácsa;1924
Hévízgyörk;3266
Iklad;2070
Kartal;6015
Tura;7786
Vácegres;924
Verseg;1337
Biatorbágy;14072
Budajenő;2159
Budakeszi;15252
Budaörs;29815
Herceghalom;2668
Nagykovácsi;8651
Páty;8081
Perbál;2143
Remeteszőlős;1051
Telki;4361
Tök;1397
Zsámbék;5748
Abony;14895
Albertirsa;13288
Cegléd;36868
Ceglédbercel;4378
Csemő;4684
Dánszentmiklós;2891
Jászkarajenő;2656
Kőröstetétlen;794
Mikebuda;734
Tápiószőlős;3007
Törtel;4269
Újszilvás;2737
Bugyi;5391
Dabas;17253
Hernád;4242
Inárcs;4721
Kakucs;3114
Örkény;5082
Pusztavacs;1333
Táborfalva;3510
Tatárszentgyörgy;2018
Újhartyán;2807
Újlengyel;1756
Csomád;1722
Dunakeszi;43765
Fót;20702
Göd;21418
Diósd;10885
Érd;69789
Pusztazámor;1223
Sóskút;3548
Százhalombatta;18854
Tárnok;10243
Törökbálint;14376
Csömör;9900
Dány;4521
Erdőkertes;8973
Gödöllő;31956
Isaszeg;11610
Kerepes;10679
Kistarcsa;13338
Mogyoród;7247
Nagytarcsa;5159
Pécel;16732
Szada;5627
Vácszentlászló;2146
Valkó;2504
Veresegyház;19820
Zsámbok;2527
Alsónémedi;5413
Felsőpakony;3859
Gyál;24806
Ócsa;9865
Bénye;1273
Csévharaszt;2053
Gomba;3125
Gyömrő;19243
Káva;658
Monor;18807
Monorierdő;4917
Nyáregyháza;3864
Pánd;1995
Péteri;2502
Pilis;12182
Vasad;1995
Farmos;3542
Kóka;4568
Mende;4165
Nagykáta;12565
Sülysáp;8515
Szentlőrinckáta;1966
Szentmártonkáta;4981
Tápióbicske;3690
Tápiógyörgye;3631
Tápióság;2795
Tápiószecső;6308
Tápiószele;6268
Tápiószentmárton;5663
Tóalmás;3837
Úri;2648
Kocsér;1806
Nagykőrös;23847
Nyársapát;2160
Pilisborosjenő;3997
Piliscsaba;8356
Pilisjászfalu;1768
Pilisszántó;2655
Pilisszentiván;4467
Pilisvörösvár;14746
Solymár;11291
Tinnye;1860
Üröm;8096
Apaj;1177
Áporka;1273
Dömsöd;6079
Kiskunlacháza;9197
Lórév;323
Makád;1268
Ráckeve;10682
Szigetbecse;1432
Szigetcsép;2550
Szigetszentmárton;2410
Szigetújfalu;2251
Budakalász;11601
Csobánka;3538
Dunabogdány;3255
Kisoroszi;987
Leányfalu;3951
Pilisszentkereszt;2179
Pilisszentlászló;1271
Pócsmegyer;2658
Pomáz;18294
Szentendre;28385
Szigetmonostor;2856
Tahitótfalu;6067
Visegrád;1808
Délegyháza;5157
Dunaharaszti;23387
Dunavarsány;8522
Halásztelek;11623
Majosháza;1735
Szigethalom;18479
Szigetszentmiklós;39952
Taksony;6489
Tököl;10506
Bernecebaráti;826
Ipolydamásd;423
Ipolytölgyes;320
Kemence;928
Kismaros;2459
Kóspallag;726
Letkés;1167
Márianosztra;807
Nagybörzsöny;687
Nagymaros;5162
Perőcsény;323
Szob;2621
Szokolya;1969
Tésa;97
Vámosmikola;1521
Verőce;3919
Zebegény;1280
Acsa;1374
Csörög;2202
Csővár;645
Galgagyörk;987
Kisnémedi;745
Kosd;2479
Őrbottyán;7702
Penc;1547
Püspökhatvan;1403
Püspökszilágy;736
Rád;1912
Sződ;3054
Sződliget;4659
