SALARY;G_PH;G_PR;BBr;HITR;B1R;HRr;SFR;ROEr;RBIR;D_BPF;D_MLVr
3750000;7;0;0,1319;0,20139;0,13889;0,0208;0,00347;0,0139;0,10417;99,7129;-0,08
3175000;18;0;0,0469;0,27344;0,22656;0,0234;0;0;0,09375;100,764;-0,031
7500000;1;0;0,037;0,31481;0,27778;0;0,01852;0,037;0,16667;98,7685;0,131
3000000;22;5;0,0408;0,19133;0,11735;0,0255;0,0102;0,0179;0,08673;100,413;-0,308
700000;2;0;0,0451;0,23077;0,14058;0,0292;0,01061;0,0053;0,12997;99,8509;-0,085
4500000;23;0;0,0682;0,26136;0,18864;0,0227;0,00455;0,0091;0,11818;99,9132;0,008
3000000;4;0;0,046;0,22222;0,1341;0,023;0,01149;0,0192;0,11877;102,507;-0,128
6250000;6;0;0,1393;0,20334;0,1727;0,0084;0,00557;0,0111;0,07799;98,0535;-0,108
1050000;59;0;0,0596;0,19205;0,1457;0,0066;0,01325;0,0199;0,06623;98,7073;-0,359
4600000;2;0;0,0556;0,28299;0,21145;0,0127;0,00636;0,0032;0,09221;101,386;0,056
1500000;22;0;0,127;0,11111;0,07937;0,0159;0,01587;0;0,06349;100,133;-0,485
13000000;2;0;0,1874;0,1874;0,09063;0,0614;0,00768;0,0031;0,15361;101,096;0,181
8282695;7;0;0,1357;0,21217;0,12696;0,0313;0,00696;0,0035;0,12348;100,635;0,03
5000000;2;0;0,098;0,19048;0,14286;0,0196;0,0028;0,014;0,08964;100,419;-0,205
4500000;2;4;0,0825;0,22872;0,16755;0,0053;0,00798;0,0106;0,07181;100,434;-0,075
4750000;1;1;0,1192;0,24038;0,20962;0,0019;0;0,0058;0,04231;101,183;-0,072
3500000;25;0;0,0575;0,26027;0,19726;0,0055;0,01096;0,0055;0,09863;98,8038;-0,063
6666666;2;0;0,0714;0,19196;0,10268;0,0268;0;0,0134;0,10268;103,324;-0,226
9500000;1;0;0,0682;0,26667;0,14729;0,0527;0,00775;0,0093;0,14884;101,977;0,199
1000000;11;10;0,0744;0,21901;0,14876;0;0,0124;0,0124;0,09091;101,674;-0,182
800000;14;0;0,1088;0,21759;0,12037;0,0463;0,00231;0,0046;0,13889;99,4211;0,056
6300000;3;0;0,1165;0,2571;0,16051;0,0128;0,00852;0,0114;0,08097;101,408;0,137
12379883;2;2;0,0536;0,25641;0,18648;0,0163;0,00466;0,0023;0,08159;101,119;-0,051
18929923;3;0;0,133;0,27982;0,16667;0,0566;0,00612;0,0092;0,18502;100,665;0,458
4150000;13;0;0,0345;0,25329;0,19243;0,0148;0,00987;0,0197;0,08553;98,8296;-0,11
5500000;0;0;0,0905;0,26308;0,16549;0,0325;0,00707;0,0071;0,15559;97,9157;0,167
950000;35;1;0,0548;0,24496;0,19308;0,0173;0,00865;0,0144;0,1268;97,9225;-0,065
5850000;7;0;0,0333;0,26316;0,18421;0,0228;0,01053;0,0035;0,10526;102,095;-0,036
12000000;1;0;0,1265;0,20428;0,12257;0,0428;0,00778;0,0039;0,12062;101,811;0,018
2025000;13;0;0,0571;0,225;0,13571;0,0429;0,02857;0,0036;0,16071;101,015;-0,077
1600000;2;1;0,0604;0,24934;0,1706;0,0158;0,0105;0,0131;0,10761;101,201;-0,03
439000;17;0;0,1323;0,21401;0,15953;0,0234;0,00389;0,0078;0,10506;98,3272;-0,046
3600000;4;0;0,1395;0,18537;0,10714;0,0408;0,0068;0,0034;0,11735;102,088;-0,054
405000;39;3;0,1197;0,26056;0,14789;0,0317;0,00352;0,0141;0,14085;101,534;0,256
410000;5;1;0,0408;0,16327;0,09184;0,0102;0;0,0306;0,09184;98,9082;-0,431
10000000;4;0;0,1157;0,21857;0,10714;0,0686;0,00857;0,0029;0,20857;99,9744;0,167
2400000;0;0;0,099;0,24328;0,17963;0,0085;0,00424;0,0127;0,06789;99,3774;-0,01
423500;9;0;0,0846;0,19231;0,13846;0,0154;0,00769;0,0154;0,13846;98,7646;-0,277
430000;20;0;0,0989;0,22761;0,12687;0,0429;0,0056;0,0149;0,12127;101,488;0,063
417000;2;0;0,1244;0,22294;0,10985;0,0517;0,00485;0,0113;0,14863;99,4136;0,176
406000;7;2;0,07;0,26788;0,17504;0,0274;0,00457;0,0122;0,11568;98,5417;0,103
424500;8;0;0,099;0,26846;0,16275;0,0336;0,01174;0,005;0,12919;98,4866;0,244
406000;0;0;0,1156;0,22417;0,1331;0,028;0,00876;0,0088;0,10333;101,519;0,038
1750000;3;2;0,075;0,1875;0,175;0,0125;0;0,0125;0,05;101,323;-0,403
4750000;4;0;0,1164;0,24283;0,15177;0,0354;0,01349;0,0118;0,14671;101,615;0,163
14726910;9;1;0,1135;0,13866;0,08824;0,0126;0,0042;0,0126;0,05882;98,4832;-0,413
8000000;9;0;0,1372;0,1995;0,09726;0,0499;0,00748;0,0025;0,13716;100,13;0,076
13870949;4;0;0,1623;0,29173;0,16537;0,0577;0,01248;0,0016;0,18097;98,425;0,62
2000000;51;0;0,1059;0,22997;0,13953;0,0207;0,01292;0,0026;0,12145;99,4406;0,003
4900000;3;1;0,1094;0,22396;0,17448;0,0234;0,00521;0,0104;0,09896;98,1122;-0,048
3000000;17;0;0,0713;0,22894;0,15335;0,0302;0,00432;0,013;0,12527;100,317;-0,085
1050000;5;17;0,0294;0,2451;0,19608;0,0098;0;0,0196;0,08824;100,227;-0,179
4350000;3;0;0,0746;0,25641;0,14918;0,0536;0,00699;0,0047;0,1352;99,0107;0,203
800000;11;0;0,078;0,29358;0,22936;0;0;0;0,07798;102,248;0,077
400000;4;0;0,0746;0,07463;0,0597;0,0149;0,01493;0,0149;0,07463;98,2642;-0,79
12600000;4;0;0,0489;0,27487;0,19899;0,0253;0,01012;0,0118;0,14165;100,927;0,027
5000000;2;1;0,1045;0,20316;0,13412;0,0237;0,00394;0,0099;0,08087;98,598;-0,092
16000000;3;0;0,105;0,23615;0,13265;0,0554;0,01166;0,0044;0,16764;98,2098;0,19
9400000;8;4;0,0943;0,21593;0,15304;0,0168;0,00419;0,0063;0,09644;100,911;-0,126
5100000;0;0;0,0804;0,22252;0,12601;0,0456;0,01072;0,0027;0,14745;102,109;0
416600;2;0;0,0445;0,26316;0,20445;0,002;0,0081;0,0122;0,0749;99,6338;-0,063
3350000;7;0;0,0643;0,27842;0,17463;0,0412;0,00659;0,0017;0,1598;99,7941;0,207
7785714;0;0;0,0905;0,25035;0,14003;0,0467;0,01132;0,0071;0,1471;99,9723;0,26
1812500;5;0;0,066;0,27835;0,2268;0,0144;0,01031;0,0041;0,11546;98,4678;0,035
412000;12;0;0,0495;0,29462;0,18925;0,0323;0,01075;0,0043;0,14839;99,0191;0,214
1450000;6;0;0,0628;0,24956;0,17452;0,0244;0,00524;0,0105;0,12914;100,224;-0,012
